average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,qloss,epsilon,steps,episode
144.35677618069815,196.30749486652977,185.40743349964063,22.875,1882,-27046,6660.484326171875,0.99,360,1
85.54275473630312,124.91244239631337,114.40154451033949,18.5,1893,-15849,4812.664794921875,0.98,720,2
125.2524219590958,169.17276641550055,158.27898245384873,22.125,1817,-22028,547.2282928466797,0.97,1080,3
95.72718154463391,138.28385155466398,127.7884682853085,20.0,1924,-18422,132.28785095214843,0.96,1440,4
78.89201406328478,117.60271220492216,106.99376250130244,18.125,1949,-14400,122.03712692260743,0.95,1800,5
122.09693621295831,171.89703666499247,161.2045735520494,21.75,1954,-23149,125.61890411376953,0.94,2160,6
59.27440904419322,91.65467625899281,81.25458400311284,14.875,1911,-10437,139.56954345703124,0.9299999999999999,2520,7
77.12953629032258,114.00907258064517,103.52681775384973,16.625,1944,-13570,154.38571701049804,0.92,2880,8
64.17081850533808,102.48398576512456,91.9914970140363,18.375,1925,-11636,167.6472946166992,0.91,3240,9
66.74465971187283,101.26974664679582,90.75212688338104,16.75,1979,-12273,206.8319076538086,0.9,3600,10
53.207207207207205,87.27427427427428,76.73072871786691,14.125,1965,-9064,229.2598648071289,0.89,3960,11
56.12506303580434,91.61825516893596,81.17009473956838,17.125,1949,-10040,267.8769729614258,0.88,4320,12
51.82567432567433,88.1108891108891,77.71780905855096,16.5,1947,-9384,258.7739944458008,0.87,4680,13
69.77906391545042,105.37845998993457,95.01529891574982,16.125,1948,-12597,306.5914245605469,0.86,5040,14
52.0611636001989,84.85827946295376,74.45087635643354,16.875,1964,-9000,339.21539306640625,0.85,5400,15
81.86567164179104,119.63830845771145,109.06071960630804,17.25,1970,-14623,404.26336059570315,0.84,5760,16
62.1434323100151,96.00754906894817,85.41679470053994,16.375,1946,-10766,386.8064483642578,0.83,6120,17
73.082944530845,108.66822187662001,98.17084572990753,16.25,1884,-12871,389.39674072265626,0.82,6480,18
57.32306163021869,93.18041749502981,82.68869658577464,16.75,1971,-10242,392.6111297607422,0.81,6840,19
68.5362095531587,107.63687724704674,97.04757262701357,16.5,1909,-12147,400.6961669921875,0.8,7200,20
60.50972568578553,96.20947630922693,85.71141206516613,19.0,1967,-11012,432.35751953125,0.79,7560,21
45.38189955246146,77.17503729487817,66.66229563556286,15.75,1979,-7854,456.5709991455078,0.78,7920,22
50.27967479674797,97.79783197831978,87.33879193531324,14.75,1752,-10010,472.16583557128905,0.77,8280,23
54.410536779324055,89.47713717693837,78.900269141497,15.75,1992,-9459,490.7950866699219,0.76,8640,24
55.16824290691886,90.397212543554,79.84702204887004,16.0,1955,-9704,491.5671783447266,0.75,9000,25
60.46693187468921,96.01143709597216,85.51118377898163,15.75,1986,-10210,511.67613830566404,0.74,9360,26
39.07642679900744,71.53200992555831,61.08975083933675,13.625,1970,-6943,485.34869079589845,0.73,9720,27
48.282522343594835,82.69761668321748,72.22331980964894,18.125,1994,-8902,500.4899658203125,0.72,10080,28
41.96766169154229,75.63880597014925,65.20686540199219,15.25,1976,-7544,537.9063415527344,0.71,10440,29
51.25955334987593,85.7528535980149,75.22231229542624,14.75,1999,-9192,589.0573699951171,0.7,10800,30
46.39830929885629,78.87667826951765,68.3266871393446,14.5,1972,-8052,636.7430419921875,0.69,11160,31
57.22045680238332,92.71300893743793,82.26121662635006,17.0,1992,-10405,551.4764434814454,0.6799999999999999,11520,32
43.832832832832835,77.69869869869869,67.3051519780781,14.0,1952,-7855,666.3400024414062,0.6699999999999999,11880,33
45.04615384615385,78.62382133995037,68.19188436075268,15.5,1995,-8055,553.3022338867188,0.6599999999999999,12240,34
42.106203473945406,74.60694789081886,64.06595173462902,13.625,1998,-7196,543.7830535888672,0.6499999999999999,12600,35
41.1089552238806,74.74228855721393,64.15969168385702,16.375,1985,-7083,606.8904693603515,0.6399999999999999,12960,36
37.72786069651741,69.74378109452736,59.37902968784337,13.625,1987,-6738,588.0706298828125,0.63,13320,37
41.976131277971156,74.78717056190949,64.40960721914473,14.75,1986,-6920,600.1971466064454,0.62,13680,38
42.538767395626245,74.55765407554672,64.00496737350439,15.375,1991,-6832,551.4632385253906,0.61,14040,39
38.3695,69.5415,59.222379912534684,13.625,1956,-6556,567.1306549072266,0.6,14400,40
33.11089010442566,65.03232222774739,54.6578169304545,13.625,1986,-5780,554.8925201416016,0.59,14760,41
29.696774193548386,59.96426799007444,49.39967267878831,11.875,1996,-5261,607.359619140625,0.58,15120,42
38.70889220069548,70.39046199701937,60.0506575162788,14.5,1989,-6575,595.4131439208984,0.5700000000000001,15480,43
34.38836399801094,66.81203381402287,56.43970850698307,12.375,1986,-5704,589.2926605224609,0.56,15840,44
32.15266036797613,63.82645450024863,53.42471539029435,13.125,1983,-5788,500.0666870117187,0.55,16200,45
26.78511166253102,56.9682382133995,46.59360163568287,12.25,1995,-4660,555.6737335205078,0.54,16560,46
33.91612903225806,65.44069478908189,55.07056307290359,13.25,1997,-5485,487.592236328125,0.53,16920,47
29.0863523573201,59.71861042183623,49.31907909330254,12.875,1996,-4882,483.0383331298828,0.52,17280,48
38.26766169154229,71.88805970149254,61.491287170458364,14.0,1975,-6872,485.04555358886716,0.51,17640,49
26.193034825870647,57.0089552238806,46.58077921009092,10.875,1985,-4255,501.2943603515625,0.5,18000,50
29.25707196029777,60.61091811414392,50.15720528713443,11.625,1987,-5174,571.6821502685547,0.49,18360,51
30.966185977125807,61.8667329686723,51.64815539739211,15.375,1984,-5589,485.6529968261719,0.48,18720,52
25.923535253227406,56.339126117179745,45.85853918398498,11.125,1989,-4553,464.7655029296875,0.47,19080,53
29.032770605759683,60.64250248262165,50.23996759453504,12.625,1993,-4785,485.4648162841797,0.45999999999999996,19440,54
27.67411823149528,58.43268753104819,48.06623131737001,12.625,1993,-4637,470.294482421875,0.44999999999999996,19800,55
23.25210918114144,54.90620347394541,44.398034918539686,10.125,1996,-4172,438.79705200195315,0.43999999999999995,20160,56
30.1148682247638,60.958727001491795,50.54667045096576,11.75,1985,-5202,438.5003723144531,0.42999999999999994,20520,57
24.482861400894187,55.486338797814206,45.03297466661134,10.75,1990,-3923,405.8661315917969,0.41999999999999993,20880,58
27.0521609538003,57.523596621957275,47.1395928049743,12.0,1991,-4448,473.92457580566406,0.4099999999999999,21240,59
32.770719602977664,63.505210918114145,52.98845850929002,13.375,1996,-5342,449.91990661621094,0.4,21600,60
23.530287984111222,54.764150943396224,44.30379256612687,9.875,1994,-3766,418.1104248046875,0.39,21960,61
22.14987593052109,52.28833746898263,41.95096352257625,10.875,1998,-3467,406.8839141845703,0.38,22320,62
23.420843672456577,53.29727047146402,42.84897360419593,12.0,1996,-4071,371.8650299072266,0.37,22680,63
16.269478908188585,45.3741935483871,35.03492005057929,9.25,1996,-2650,396.82430572509764,0.36,23040,64
20.030287984111222,49.75868917576961,39.4153380292963,10.25,1999,-3293,400.5952392578125,0.35,23400,65
18.901736972704715,49.110669975186106,38.697538001377815,9.0,1996,-3173,413.33092041015624,0.33999999999999997,23760,66
