average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,qloss,epsilon,steps,episode
124.03975219411461,166.96437790397522,156.30529649647968,18.375,1893,-21046,1018.9878051757812,0.9901,360,1
90.081,131.635,121.2467872433367,21.0,1907,-16778,1612.860629272461,0.9802,720,2
87.25588536335722,127.81729785056295,117.15863199126277,18.5,1878,-15952,1206.015817260742,0.9703,1080,3
69.17760814249364,103.86717557251909,93.52800569094751,15.0,1926,-12286,1097.6025817871093,0.9604,1440,4
83.54400795624068,124.7717553455992,114.32358297718481,19.375,1963,-16373,944.882275390625,0.9505,1800,5
60.873791348600506,96.3791348600509,85.86586650701283,14.875,1925,-10761,1054.6465148925781,0.9406,2160,6
77.10452261306533,113.26532663316583,102.59164838557098,16.125,1963,-13581,1049.023974609375,0.9307,2520,7
74.6250626566416,112.43408521303259,101.91868626222114,22.0,1948,-13752,1105.5856018066406,0.9208,2880,8
104.5952380952381,145.6899585921325,134.89698929562223,21.0,1886,-18801,1274.8056213378907,0.9109,3240,9
56.36304780876494,89.7046812749004,79.11006829124723,13.25,1976,-9819,1632.6770080566407,0.901,3600,10
66.62075848303394,105.18163672654691,94.74065550654542,16.625,1963,-12299,1686.821240234375,0.8911,3960,11
70.92459514170041,106.68117408906883,96.03907290726619,14.375,1918,-11802,1258.688494873047,0.8812,4320,12
62.110833749375935,97.30104842735896,86.75830075194813,15.25,1969,-10989,2620.0917358398438,0.8713,4680,13
62.51901901901902,97.1036036036036,86.66796456512662,14.0,1965,-11274,2498.7546997070312,0.8613999999999999,5040,14
83.83839918946302,121.70871327254306,111.07196387863841,18.25,1939,-14699,3571.5454833984377,0.8515,5400,15
66.1392910634049,101.24513230154768,90.8122582722308,16.875,1972,-11709,3361.4182739257812,0.8416,5760,16
66.94810379241517,101.68862275449102,91.08330710985013,15.625,1963,-11839,2744.6330322265626,0.8317,6120,17
61.22587064676617,97.30796019900498,86.73181942382742,17.625,1979,-10845,2129.3448120117187,0.8218,6480,18
56.88474913065077,90.5504222553403,80.00594543349118,14.25,1988,-9189,2384.003771972656,0.8119,6840,19
48.588089330024815,81.32307692307693,70.90453376633272,14.75,1991,-8112,3470.8646606445313,0.802,7200,20
73.3235,112.9075,102.31565005146669,21.25,1940,-13412,3223.973498535156,0.7921,7560,21
57.521249359959036,91.10701484895033,80.57875131481879,14.375,1911,-9623,3242.314837646484,0.7822,7920,22
52.99002493765586,86.4359102244389,76.00165808860304,14.25,1948,-9303,2601.654376220703,0.7723,8280,23
47.60170768458061,81.07533902561526,70.30877003498696,13.0,1960,-8268,1481.2779052734375,0.7624,8640,24
44.157320099255585,77.78213399503723,67.32880408245586,13.75,1996,-7806,1659.8446472167968,0.7525,9000,25
64.62425447316103,99.52236580516899,88.85804765651153,16.875,1983,-11287,1397.803076171875,0.7425999999999999,9360,26
49.75050301810865,83.09255533199195,72.55087797688981,13.625,1956,-8515,1156.5637145996093,0.7327,9720,27
58.60129740518962,92.67415169660678,82.28596656735779,15.875,1966,-10454,1848.4596618652345,0.7228,10080,28
50.899950223992036,83.93827775012444,73.39267021965907,15.375,1964,-9164,1192.4711547851562,0.7129,10440,29
39.954816285998014,71.44538232373387,60.90766556945574,12.875,1992,-7072,1529.690625,0.7030000000000001,10800,30
40.67617617617618,73.75925925925925,63.15154572800497,14.75,1957,-6966,1766.5176940917968,0.6931,11160,31
46.417122946739674,80.21553011448482,69.6955226922401,13.0,1976,-7995,1842.5133728027345,0.6832,11520,32
33.24739195230998,65.32588176850471,54.87637857007483,11.25,1971,-5910,2909.487014770508,0.6733,11880,33
44.81786427145708,76.6506986027944,66.2553767228355,14.75,1957,-8026,1982.6717102050782,0.6634,12240,34
40.14761431411531,73.96719681908549,63.53963585880241,14.5,1989,-7013,4472.0828857421875,0.6535,12600,35
40.52236580516899,73.37226640159045,62.701443300282214,11.375,1971,-7059,1399.9990783691405,0.6436,12960,36
37.04565756823821,70.34640198511167,59.95386142193108,14.875,1983,-6327,1111.3002563476562,0.6336999999999999,13320,37
41.6815670517328,75.00452034153692,64.60767107306516,12.5,1941,-7748,1834.7518005371094,0.6237999999999999,13680,38
44.7985111662531,79.45558312655086,68.99598201097237,14.375,1988,-7674,2078.76044921875,0.6139,14040,39
52.4493041749503,86.38717693836978,75.96673814873634,16.0,1991,-8955,2656.9661071777346,0.604,14400,40
48.41155954160438,80.90034877927255,70.3767800100422,13.125,1967,-8132,2360.6535888671874,0.5941,14760,41
32.93197616683217,63.28152929493545,52.68848276147722,12.25,1995,-5524,940.7554809570313,0.5842,15120,42
32.42750373692078,63.87144992526159,53.35773994313512,11.375,1982,-5617,1721.793667602539,0.5743,15480,43
17.13888888888889,1263.9462962962964,1255.3549659166667,21.25,299,-47469,5715.807641601563,0.5644,15840,44
34.77672799602188,66.19244157135753,55.67228741834706,12.125,1973,-5761,5819.0353515625,0.5545,16200,45
37.681,69.8905,59.36921590788284,14.625,1966,-6568,6974.2607421875,0.5446,16560,46
34.41658391261172,66.55908639523336,56.23460664338694,13.875,1993,-5522,6730.108862304687,0.5347,16920,47
53.42487562189055,88.34228855721393,77.89910070593945,17.5,1966,-9706,2920.035778808594,0.5247999999999999,17280,48
29.451116625310174,59.48684863523573,49.21963715449806,12.5,1998,-4940,10837.971337890625,0.5148999999999999,17640,49
27.28798411122145,58.37686196623635,47.99864379059646,12.75,1967,-4834,2647.9711853027343,0.505,18000,50
35.1409429280397,67.3498759305211,56.76233384148863,12.875,1998,-5970,13380.896875,0.4951,18360,51
27.033763654419065,58.64746772591857,48.22334198433428,12.0,1995,-4582,2284.2772705078123,0.48519999999999996,18720,52
24.020367610531544,54.14307004470939,43.60820253156317,11.0,1989,-4024,1198.5642517089843,0.47529999999999994,19080,53
28.82487562189055,59.527363184079604,49.10309641885391,11.625,1985,-4897,9400.413531494141,0.46540000000000004,19440,54
28.420398009950247,59.54278606965174,48.973623578528084,10.75,1985,-5063,1551.3760498046875,0.4555,19800,55
35.473187686196624,67.10228401191658,56.48810829222938,12.25,1993,-6127,2480.1989685058593,0.4456,20160,56
33.64995034756703,65.23634558093346,54.65006534756497,12.875,1991,-5695,1348.2941040039063,0.4357,20520,57
27.50671307807061,59.011437095972155,48.49178897950111,11.625,1990,-4957,925.3046447753907,0.42579999999999996,20880,58
33.01191066997519,64.53697270471464,53.93990047888079,11.625,1996,-5583,716.3525665283203,0.41589999999999994,21240,59
28.687841191066997,60.293300248138955,49.89673174648678,12.125,1979,-4739,1370.5495513916017,0.406,21600,60
34.61044776119403,65.85621890547263,55.48629284593647,13.125,1970,-5778,1110.703173828125,0.3961,21960,61
31.863455809334656,63.29940417080437,52.73243326816949,12.75,1986,-5404,1389.69580078125,0.3862,22320,62
30.582587064676616,61.97661691542289,51.42267592404196,13.125,1989,-5002,2318.838284301758,0.37629999999999997,22680,63
33.12059553349876,65.5697270471464,55.08365684046402,14.0,1996,-5808,1383.7661071777343,0.36639999999999995,23040,64
28.934458788480637,61.19066534260179,50.63782599022266,13.625,1994,-4833,2154.1540863037108,0.35649999999999993,23400,65
23.13555114200596,53.4116186693148,42.8935166430222,9.75,1994,-3832,1180.740219116211,0.3466,23760,66
28.67229394240318,59.265640516385304,48.72915238169859,12.0,1993,-4783,1247.7481353759765,0.3367,24120,67
31.570004982561038,63.733432984554064,53.29303351938041,13.375,1967,-5408,1196.5147186279296,0.3268,24480,68
25.56426799007444,56.2,45.7990322274598,11.0,1996,-4130,256.64679260253905,0.31689999999999996,24840,69
19.52686567164179,49.45223880597015,39.04883636339181,9.5,1986,-3300,1174.9169647216797,0.30699999999999994,25200,70
21.381141439205955,51.74789081885856,41.33618821634841,11.25,1977,-3552,545.2549697875977,0.2970999999999999,25560,71
23.542701092353525,54.540714995034755,44.160895944500496,11.75,1992,-4177,574.0957153320312,0.2872,25920,72
20.073558648111334,50.04174950298211,39.59248537427428,9.625,1985,-3427,1809.2513793945313,0.2773,26280,73
21.206451612903226,51.44119106699752,41.054223912598864,12.375,1998,-3593,1113.8656509399414,0.26739999999999997,26640,74
22.514399205561073,52.98411122144985,42.62062830668638,10.375,1994,-3587,1090.1916275024414,0.25749999999999995,27000,75
20.829607550919025,51.029806259314455,40.54493493742823,10.0,1992,-3564,556.1967514038085,0.24759999999999993,27360,76
27.013937282229964,57.812842210054754,47.39305806911972,11.625,1972,-4399,1117.6819122314453,0.23770000000000002,27720,77
18.161786600496278,48.66699751861042,38.29745653768318,9.875,1996,-3115,1373.6706298828126,0.2278,28080,78
24.889826302729528,56.235732009925556,45.90259746421058,11.125,1981,-4143,228.31936340332032,0.21789999999999998,28440,79
23.125558312655087,53.68883374689826,43.29869557746721,11.625,1996,-3779,863.1687538146973,0.20799999999999996,28800,80
25.93548387096774,57.24813895781638,46.85625764077741,11.875,1996,-4359,1097.8230773925782,0.19809999999999994,29160,81
31.363771712158808,63.03424317617866,52.631236899044566,13.5,1996,-4942,1442.3809997558594,0.18819999999999992,29520,82
16.23573200992556,47.173697270471465,36.73772158485842,8.625,1996,-2747,901.876596069336,0.17830000000000001,29880,83
16.23237338629593,45.849553128103274,35.567154282758835,9.25,1991,-2724,1792.5557556152344,0.1684,30240,84
18.84863523573201,48.62828784119107,38.12924960212931,9.0,1996,-3086,1104.2283996582032,0.15849999999999997,30600,85
16.990570719602978,46.903722084367246,36.52911324375275,10.25,1996,-2870,626.8538253784179,0.14859999999999995,30960,86
16.89181141439206,46.981637717121586,36.66655859377556,10.0,1996,-2839,789.5675994873047,0.13869999999999993,31320,87
18.712158808933,49.06848635235732,38.63389371101703,11.125,1996,-3211,786.9050018310547,0.12879999999999991,31680,88
15.883374689826303,46.235732009925556,35.81160713524816,8.375,1996,-2555,359.0409210205078,0.1189,32040,89
14.073449131513648,44.479900744416874,33.93397292331448,8.625,1999,-2432,938.808332824707,0.10899999999999999,32400,90
17.23821339950372,47.96228287841191,37.44008730629545,9.25,1994,-2936,1218.546418762207,0.09909999999999997,32760,91
13.785607940446651,43.41786600496278,33.10520446607585,7.625,1996,-2282,370.7715728759766,0.08919999999999995,33120,92
17.940913604766635,48.64001986097319,38.05224565534781,10.0,1996,-2925,1237.7947219848634,0.07929999999999993,33480,93
17.626302729528536,48.064019851116626,37.69952534330482,9.875,1996,-2928,1949.6863716125488,0.06940000000000002,33840,94
13.602780536246277,44.08689175769613,33.81347128007248,7.75,1995,-2356,670.2569183349609,0.0595,34200,95
13.191563275434243,42.91910669975186,32.59004450122574,7.375,1997,-2200,767.2657920837403,0.04959999999999998,34560,96
14.227791563275435,44.42630272952854,34.05877627923695,7.875,1996,-2410,983.7197204589844,0.03969999999999996,34920,97
15.69379652605459,46.22282878411911,35.817244378017335,9.375,1996,-2596,645.7007385253906,0.029799999999999938,35280,98
13.188585607940446,43.21439205955335,32.81892924029288,8.125,1996,-2208,789.7185760498047,0.019899999999999918,35640,99
13.988089330024813,43.84367245657568,33.479396519067414,7.625,1997,-2314,1212.8228668212892,0.010000000000000009,36000,100
15.315632754342431,45.63225806451613,35.28308702859058,8.875,1999,-2556,441.0959991455078,0.01,36360,101
17.632703777335983,48.183399602385684,37.69653690240673,11.125,1989,-2984,892.9675003051758,0.01,36720,102
13.115690168818272,43.36842105263158,33.03715599780127,7.375,1993,-2175,442.3855606079102,0.01,37080,103
16.36228287841191,46.5712158808933,36.193077013554046,10.625,1996,-2734,731.4391403198242,0.01,37440,104
15.11166253101737,44.56079404466501,34.24362874986775,9.125,1995,-2416,911.415601348877,0.01,37800,105
12.702233250620347,42.87692307692308,32.44688784687521,7.0,1996,-2193,864.9060356140137,0.01,38160,106
16.10824230387289,46.268619662363456,35.87306593559099,8.625,1994,-2614,142.67641677856446,0.01,38520,107
15.180645161290322,45.49131513647643,35.155442314341585,8.5,1993,-2520,542.5205688476562,0.01,38880,108
15.091857000993048,45.04965243296922,34.68933143809654,7.75,1993,-2483,298.37248001098635,0.01,39240,109
15.146898263027296,45.32803970223325,34.832515347496056,8.875,1996,-2494,431.7745559692383,0.01,39600,110
15.661042183622829,45.70620347394541,35.250174524630786,8.375,1997,-2571,254.50777359008788,0.01,39960,111
14.239205955334988,44.151861042183626,33.751396131498346,7.75,1995,-2201,551.8740028381347,0.01,40320,112
14.366253101736973,43.79354838709678,33.462969920607726,7.875,1997,-2262,763.9879264831543,0.01,40680,113
15.643176178660049,46.002977667493795,35.63223289301062,8.75,1998,-2615,718.2417060852051,0.01,41040,114
14.643176178660049,44.487841191067,34.07034608929351,8.625,1998,-2313,604.6865692138672,0.01,41400,115
