average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,steps,episode
71.64243027888446,108.93625498007968,98.36995514481448,16.375,1961,-13016,360,1
71.89990039840637,108.75946215139442,98.12927005192117,16.25,1963,-13191,720,2
71.89990039840637,108.75946215139442,98.12927005192117,16.25,1963,-13191,1080,3
68.91384462151395,105.71862549800797,95.17533852697404,16.25,1961,-12648,1440,4
70.27661691542289,106.99253731343283,96.44112732209751,17.25,1961,-12929,1800,5
70.27661691542289,106.99253731343283,96.44112732209751,17.25,1961,-12929,2160,6
69.59740906826109,106.22919780767315,95.53225151153421,16.375,1962,-12691,2520,7
69.59740906826109,106.22919780767315,95.53225151153421,16.375,1962,-12691,2880,8
69.86902390438247,106.8859561752988,96.3840363284492,16.375,1962,-12793,3240,9
66.62649402390439,103.9780876494024,93.33977797377895,16.0,1962,-12351,3600,10
66.62649402390439,103.9780876494024,93.33977797377895,16.0,1962,-12351,3960,11
71.395615346288,108.78724464374689,98.14993405845547,16.5,1962,-13160,4320,12
71.395615346288,108.78724464374689,98.14993405845547,16.5,1962,-13160,4680,13
66.56922310756973,103.60059760956176,93.13459545129584,16.625,1962,-12246,5040,14
70.89890438247012,107.61952191235059,97.08358007190691,17.625,1963,-13058,5400,15
70.89890438247012,107.61952191235059,97.08358007190691,17.625,1963,-13058,5760,16
71.5219123505976,108.699203187251,98.19954188449098,16.5,1961,-13107,6120,17
71.07021912350598,108.41434262948208,97.91708782009896,16.625,1961,-13134,6480,18
71.07021912350598,108.41434262948208,97.91708782009896,16.625,1961,-13134,6840,19
67.21464143426294,104.52490039840637,94.03365321756043,16.25,1962,-12421,7200,20
67.21464143426294,104.52490039840637,94.03365321756043,16.25,1962,-12421,7560,21
67.86205179282868,104.7300796812749,94.17067524332741,17.375,1961,-12411,7920,22
67.40338645418326,103.40737051792829,92.86152168657377,15.875,1963,-12260,8280,23
67.40338645418326,103.40737051792829,92.86152168657377,15.875,1963,-12260,8640,24
68.18326693227091,105.63794820717132,95.2358639215656,16.75,1962,-12559,9000,25
68.18326693227091,105.63794820717132,95.2358639215656,16.75,1962,-12559,9360,26
67.13496015936255,103.68725099601593,93.307694125174,16.5,1962,-12279,9720,27
70.34213147410358,107.66782868525897,97.17307973132668,16.625,1962,-12884,10080,28
70.34213147410358,107.66782868525897,97.17307973132668,16.625,1962,-12884,10440,29
69.3273631840796,106.79701492537313,96.29415132024585,16.5,1964,-12771,10800,30
69.3273631840796,106.79701492537313,96.29415132024585,16.5,1964,-12771,11160,31
71.33864541832669,108.75796812749005,98.25594156294028,16.375,1963,-13175,11520,32
70.33964143426294,107.60408366533865,97.0895339637834,16.75,1962,-12893,11880,33
70.33964143426294,107.60408366533865,97.0895339637834,16.75,1962,-12893,12240,34
69.54382470119522,106.8949203187251,96.25355115210503,16.25,1961,-12773,12600,35
69.54382470119522,106.8949203187251,96.25355115210503,16.25,1961,-12773,12960,36
