average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,steps,episode
68.91832669322709,107.25796812749005,96.66760113446988,16.75,1962,-12802,360,1
72.37101593625498,109.0199203187251,98.38689510528513,17.0,1962,-13379,720,2
72.37101593625498,109.0199203187251,98.38689510528513,17.0,1962,-13379,1080,3
68.8969123505976,105.3261952191235,94.91016087403881,17.375,1961,-12726,1440,4
68.8969123505976,105.3261952191235,94.91016087403881,17.375,1961,-12726,1800,5
70.22360557768924,107.39093625498008,96.92166108641261,16.625,1962,-12998,2160,6
71.02840059790732,108.756851021425,98.1084000072527,17.0,1963,-13031,2520,7
71.02840059790732,108.756851021425,98.1084000072527,17.0,1963,-13031,2880,8
69.06972111553785,106.73406374501992,96.30974793369619,16.375,1963,-12730,3240,9
69.06972111553785,106.73406374501992,96.30974793369619,16.375,1963,-12730,3600,10
71.70418326693228,109.45318725099601,98.86347955503508,17.25,1963,-13218,3960,11
69.15637450199203,106.13645418326693,95.6354087501675,17.25,1961,-12852,4320,12
69.15637450199203,106.13645418326693,95.6354087501675,17.25,1961,-12852,4680,13
69.18177290836654,105.63794820717132,95.00819667950498,16.25,1962,-12562,5040,14
69.18177290836654,105.63794820717132,95.00819667950498,16.25,1962,-12562,5400,15
67.82221115537848,105.18027888446215,94.75226448365564,16.25,1961,-12499,5760,16
69.2589641434263,106.33764940239044,95.93850273175323,16.5,1961,-12778,6120,17
69.2589641434263,106.33764940239044,95.93850273175323,16.5,1961,-12778,6480,18
70.07270916334662,106.8530876494024,96.57748958613985,16.375,1963,-12920,6840,19
70.07270916334662,106.8530876494024,96.57748958613985,16.375,1963,-12920,7200,20
67.05677290836654,103.39790836653387,92.96663299760185,16.0,1962,-12198,7560,21
74.9691235059761,113.05478087649402,102.46893184305381,16.5,1960,-13849,7920,22
74.9691235059761,113.05478087649402,102.46893184305381,16.5,1960,-13849,8280,23
66.99701195219123,104.16334661354581,93.72457465960437,16.5,1962,-12339,8640,24
66.99701195219123,104.16334661354581,93.72457465960437,16.5,1962,-12339,9000,25
71.17529880478088,108.41384462151395,97.78257845896817,17.25,1961,-13071,9360,26
68.08764940239044,105.23356573705179,94.75111830732774,17.125,1960,-12373,9720,27
68.08764940239044,105.23356573705179,94.75111830732774,17.125,1960,-12373,10080,28
70.65637450199203,107.51145418326693,96.94416957375167,16.625,1962,-12962,10440,29
70.65637450199203,107.51145418326693,96.94416957375167,16.625,1962,-12962,10800,30
69.87350597609561,106.70866533864542,96.13661849045236,16.25,1962,-12913,11160,31
73.12338308457711,110.5,99.95196429633171,16.5,1963,-13356,11520,32
73.12338308457711,110.5,99.95196429633171,16.5,1963,-13356,11880,33
70.64890438247012,107.46065737051792,96.86429044587548,16.875,1961,-12955,12240,34
70.64890438247012,107.46065737051792,96.86429044587548,16.875,1961,-12955,12600,35
71.52788844621514,107.7878486055777,97.20598561215262,16.5,1962,-12999,12960,36
71.46713147410358,109.29681274900399,98.67477584610623,16.25,1962,-13177,13320,37
71.46713147410358,109.29681274900399,98.67477584610623,16.25,1962,-13177,13680,38
68.76233183856502,105.67663178873941,95.19425642878012,16.5,1958,-12608,14040,39
68.76233183856502,105.67663178873941,95.19425642878012,16.5,1958,-12608,14400,40
69.8530876494024,106.89940239043824,96.34942990942848,17.125,1965,-12853,14760,41
68.29631474103586,104.7519920318725,94.19933809318563,16.375,1962,-12560,15120,42
68.29631474103586,104.7519920318725,94.19933809318563,16.375,1962,-12560,15480,43
69.074203187251,105.98854581673307,95.36663495612876,16.0,1961,-12582,15840,44
69.074203187251,105.98854581673307,95.36663495612876,16.0,1961,-12582,16200,45
69.81393034825871,107.09701492537313,96.53710769380305,16.5,1963,-12879,16560,46
69.5871513944223,106.11703187250995,95.72800392507651,16.375,1962,-12727,16920,47
69.5871513944223,106.11703187250995,95.72800392507651,16.375,1962,-12727,17280,48
70.99153807864609,107.11846689895471,96.60408140474041,16.875,1964,-12835,17640,49
70.99153807864609,107.11846689895471,96.60408140474041,16.875,1964,-12835,18000,50
67.35159362549801,103.74053784860558,93.29123678926845,16.5,1962,-12295,18360,51
68.59760956175299,105.28137450199203,94.85237022824862,16.375,1962,-12507,18720,52
68.59760956175299,105.28137450199203,94.85237022824862,16.375,1962,-12507,19080,53
69.60806772908367,106.97559760956176,96.52836639175707,16.625,1963,-12784,19440,54
69.60806772908367,106.97559760956176,96.52836639175707,16.625,1963,-12784,19800,55
70.46464143426294,107.40737051792829,96.87791340565332,16.25,1962,-13000,20160,56
71.25049800796813,108.3949203187251,97.7490312424207,16.875,1960,-13000,20520,57
71.25049800796813,108.3949203187251,97.7490312424207,16.875,1960,-13000,20880,58
67.41782868525897,103.8859561752988,93.38717672073544,16.375,1962,-12439,21240,59
67.18625498007968,104.11553784860558,93.68128265196609,16.375,1962,-12368,21600,60
67.18625498007968,104.11553784860558,93.68128265196609,16.375,1962,-12368,21960,61
69.13153961136024,106.55156950672645,95.93185947669382,17.25,1962,-12742,22320,62
69.13153961136024,106.55156950672645,95.93185947669382,17.25,1962,-12742,22680,63
68.51444223107569,104.7898406374502,94.22410806891244,16.0,1963,-12388,23040,64
68.51444223107569,104.7898406374502,94.22410806891244,16.0,1963,-12388,23400,65
69.75796812749005,107.56673306772909,96.94717064352778,16.5,1960,-12968,23760,66
67.96417910447761,104.33134328358209,93.70837760461289,16.25,1963,-12400,24120,67
67.96417910447761,104.33134328358209,93.70837760461289,16.25,1963,-12400,24480,68
67.33167330677291,104.2480079681275,93.7016794171076,16.125,1963,-12440,24840,69
67.33167330677291,104.2480079681275,93.7016794171076,16.125,1963,-12440,25200,70
69.72211155378486,107.4437250996016,96.9047258179796,16.625,1963,-12736,25560,71
68.1339641434263,105.69472111553785,95.22996344422559,16.875,1961,-12641,25920,72
68.1339641434263,105.69472111553785,95.22996344422559,16.875,1961,-12641,26280,73
71.16434262948208,108.79432270916335,98.29160957282005,16.375,1962,-13119,26640,74
68.80776892430279,105.95368525896414,95.52339340638774,16.625,1962,-12655,27000,75
68.80776892430279,105.95368525896414,95.52339340638774,16.625,1962,-12655,27360,76
69.93924302788845,106.80876494023904,96.1742710290074,16.375,1963,-12798,27720,77
69.93924302788845,106.80876494023904,96.1742710290074,16.375,1963,-12798,28080,78
69.89641434262948,106.81424302788845,96.31821611044148,16.375,1961,-12810,28440,79
64.57370517928287,100.96513944223108,90.47639842310842,16.0,1961,-11728,28800,80
64.57370517928287,100.96513944223108,90.47639842310842,16.0,1961,-11728,29160,81
69.0652390438247,105.77739043824701,95.28503536282008,16.25,1963,-12635,29520,82
69.0652390438247,105.77739043824701,95.28503536282008,16.25,1963,-12635,29880,83
71.25721393034826,108.28457711442786,97.6388321616244,16.75,1964,-13085,30240,84
71.25721393034826,108.28457711442786,97.6388321616244,16.75,1964,-13085,30600,85
69.1140438247012,106.24003984063745,95.7878281832043,16.875,1962,-12642,30960,86
69.81474103585657,107.55876494023904,96.91970912310069,16.25,1962,-12918,31320,87
69.81474103585657,107.55876494023904,96.91970912310069,16.25,1962,-12918,31680,88
65.91832669322709,102.824203187251,92.28857634288232,17.25,1965,-12157,32040,89
65.91832669322709,102.824203187251,92.28857634288232,17.25,1965,-12157,32400,90
68.44793223716991,105.79123069257598,95.20048127622127,16.625,1962,-12652,32760,91
