average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,critic/value_loss,critic/learning_rate,actor/learning_rate,actor/policy_loss,actor/entropy,actor/old_approx_kl,actor/approx_kl,clipfrac,steps,episode
104.65793609219487,145.2173913043478,134.837257059086,18.625,1822,-19583,436272.0625,0.1,0.1,7.107220649719238,1.0748907327651978,0.4133111238479614,0.4906601905822754,0.6666666666666666,360,1
198.6787983824379,252.55054881571346,242.7532788311183,22.5,1597,-34224,1309714.5,0.1,0.1,3.9043514728546143,0.9301435947418213,0.08286235481500626,0.08509259670972824,0.6388888955116272,720,2
74.13796526054591,115.13796526054591,104.73973151705098,18.375,1993,-13876,225328.265625,0.1,0.1,3.2589163780212402,1.2109445333480835,0.005241896491497755,0.005279365926980972,0.13796296467383704,1080,3
98.80892042574759,143.52204764318296,133.06130543721207,20.375,1912,-18896,379553.875,0.1,0.1,3.7719483375549316,1.2126835584640503,-0.0004929266287945211,0.008407620713114738,0.15185185273488364,1440,4
45.940417080436944,81.14895729890765,70.79743525143844,16.5,1996,-8489,64604.11328125,0.1,0.1,4.999022483825684,1.1718395948410034,0.0008986874017864466,0.007514158729463816,0.16759259005387625,1800,5
55.715937657114125,90.77576671694318,80.43701704937475,18.25,1958,-10174,82293.765625,0.1,0.1,5.554449081420898,1.1218334436416626,0.007116418331861496,0.005489366594702005,0.14999999602635702,2160,6
72.208,113.172,103.01810815634849,18.5,1951,-14092,126191.7890625,0.1,0.1,4.489402770996094,1.1732707023620605,0.003508462104946375,0.003935732413083315,0.13240741193294525,2520,7
73.97191887675507,115.47789911596463,105.26254924837146,20.125,1884,-14167,107526.03125,0.1,0.1,4.863689422607422,1.1776881217956543,0.00837453082203865,0.0026687372010201216,0.06203703706463178,2880,8
65.56929955290612,102.51912568306011,92.06405586685666,17.75,1991,-12477,69621.625,0.1,0.1,4.427138805389404,1.2563724517822266,-0.004450235981494188,0.006322385743260384,0.2888888865709305,3240,9
49.04114400401405,82.78474661314601,72.59676076067568,17.0,1951,-9115,35234.38671875,0.1,0.1,4.7327375411987305,1.2784479856491089,0.008771335706114769,0.0036380556412041187,0.07685184975465138,3600,10
52.0199900049975,86.85107446276862,76.59544984867456,16.875,1975,-9457,23290.568359375,0.1,0.1,5.714617729187012,1.2803958654403687,0.004748280625790358,0.004703589715063572,0.10370370745658875,3960,11
82.33649052841476,122.78364905284147,112.62005262680111,21.5,1912,-15686,117380.375,0.1,0.1,5.604757785797119,1.3081847429275513,0.0007121635717339814,0.002295996295288205,0.05092592537403107,4320,12
75.3033303330333,457.8847884788479,448.48617951820165,22.75,883,-36895,1244873.875,0.1,0.1,2.5437171459198,1.3063381910324097,0.00027217998285777867,0.0008764819940552115,0.0,4680,13
75.31492537313433,116.47810945273632,106.08122620116079,20.375,1965,-14608,69892.1015625,0.1,0.1,5.06964635848999,1.293285846710205,-0.0012030386133119464,0.001553803333081305,0.03796296318372091,5040,14
65.02212166918049,102.93011563599799,92.72716072965106,19.75,1945,-12684,63320.23828125,0.1,0.1,4.378365993499756,1.3079293966293335,0.0022112925071269274,0.0009654149180278182,0.005555555845300357,5400,15
