average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,qloss,epsilon,steps,episode
95.0419098143236,133.82705570291776,123.44101750498535,17.25,1845,-16451,2689.3970947265625,0.99,360,1
78.73641442356526,116.1868969019807,105.56843764428682,17.875,1929,-13778,2369.623400878906,0.98,720,2
117.24532119372788,159.10217501264543,148.50517146775877,21.625,1859,-22179,3148.0312744140624,0.97,1080,3
81.95564516129032,121.40725806451613,110.93584083091733,16.625,1918,-15279,2048.9315185546875,0.96,1440,4
73.70967741935483,113.74609781477628,103.25418368645799,18.25,1863,-14148,4406.136584472656,0.95,1800,5
82.10244161358811,117.96019108280255,107.50185905831903,17.0,1850,-14066,5079.306689453125,0.94,2160,6
93.86998394863564,133.0577849117175,122.35606275351516,18.75,1825,-15197,4725.458081054688,0.9299999999999999,2520,7
80.38583078491335,118.85015290519878,108.4461320093636,17.0,1891,-15159,2642.7885986328124,0.92,2880,8
73.52158086323453,110.22828913156526,99.68694376223858,17.5,1873,-13053,3629.681591796875,0.91,3240,9
88.22804232804233,122.65873015873017,112.06281156868434,20.0,1853,-14341,2766.9418090820313,0.9,3600,10
61.971967380224264,99.2262996941896,88.81366758641478,14.5,1918,-10196,1819.6454833984376,0.89,3960,11
65.8712512926577,98.54498448810754,87.89438525944999,14.5,1894,-11596,2504.753515625,0.88,4320,12
93.88475088072471,132.5641670860594,122.00146948454483,19.75,1912,-17444,3450.1948974609377,0.87,4680,13
60.02088639836984,94.46917982679572,84.12511727258766,14.125,1926,-10481,2034.1615478515625,0.86,5040,14
90.09417040358744,124.60313901345292,113.7195581368855,11.875,1739,-12212,2338.4569702148438,0.85,5400,15
68.21904266389178,102.10197710718002,91.64719302235189,13.125,1884,-11182,2268.3481567382814,0.84,5760,16
55.860896445131374,88.19216898505925,77.82688683078155,14.375,1896,-9703,2365.250036621094,0.83,6120,17
69.44167962674962,104.00933125972006,93.46993577692729,15.125,1888,-11723,2336.6738403320314,0.82,6480,18
59.18669314796425,92.28947368421052,81.95993992058285,14.875,1970,-10534,2203.7086547851563,0.81,6840,19
93.05648535564853,134.54497907949792,123.8011860486322,18.75,1876,-15366,2454.382763671875,0.8,7200,20
81.40850376749192,119.1350914962325,108.49669629085656,15.875,1795,-13538,2539.8844482421873,0.79,7560,21
89.70443073471677,127.94447560291643,116.89194136743507,13.625,1747,-12840,2859.8623779296877,0.78,7920,22
88.22970195272353,127.8186022610483,117.33117158617499,17.25,1904,-14472,2818.1334594726563,0.77,8280,23
66.84945112388918,100.76999477260847,90.22895558943561,14.875,1875,-11137,2321.6871948242188,0.76,8640,24
71.84771573604061,105.50355329949238,94.98659851335046,13.75,1930,-11649,2727.6924682617187,0.75,9000,25
59.54838709677419,92.41723955579059,81.92860681046464,12.0,1848,-9891,2184.5709838867188,0.74,9360,26
66.43947368421053,99.89,89.36218487300579,13.625,1862,-11258,3038.5018676757813,0.73,9720,27
65.53850076491585,101.73227944926059,91.35781733352084,16.375,1921,-11354,2102.295935058594,0.72,10080,28
71.40799158780231,106.36172450052577,95.82384333477839,13.75,1864,-11349,3328.519091796875,0.71,10440,29
54.66530612244898,88.10102040816327,77.57567110668829,13.875,1915,-9788,2886.995959472656,0.7,10800,30
65.72415584415585,100.64,90.0768141446662,13.625,1877,-11047,3323.901171875,0.69,11160,31
57.23073097961213,89.76529090004972,79.38198265420054,13.625,1964,-10204,3926.012255859375,0.6799999999999999,11520,32
77.44498910675381,110.99400871459694,100.28040335869238,13.875,1791,-11584,3419.1731567382812,0.6699999999999999,11880,33
56.70471464019851,89.60545905707195,79.23489889233537,14.125,1985,-9858,3060.6657470703126,0.6599999999999999,12240,34
