average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,qloss,epsilon,steps,episode
100.68404749612803,144.7661331956634,134.03237231937868,21.375,1886,-17947,3281.0694091796877,0.99,360,1
96.51675126903554,138.997461928934,128.3193595670031,21.25,1930,-17586,3353.008056640625,0.98,720,2
144.9630922693267,199.2129675810474,188.44633948955413,22.625,1891,-28363,535.6251220703125,0.97,1080,3
71.79673135852912,106.26506639427988,95.77163665818307,16.25,1921,-12446,172.7311019897461,0.96,1440,4
117.19248349415948,164.4540375825292,153.72064801814054,21.75,1916,-21759,234.6719970703125,0.95,1800,5
78.74710910005028,116.65460030165913,106.12685325753459,18.0,1943,-14686,355.98627014160155,0.94,2160,6
92.79885951270089,130.89631933644375,120.35214594167108,17.75,1891,-16482,513.5709228515625,0.9299999999999999,2520,7
83.03428863868987,123.69703172978505,113.09237266539229,19.125,1912,-15114,792.8423767089844,0.92,2880,8
109.9660071029934,151.02232369355656,140.35169763577133,19.125,1891,-18101,835.9535217285156,0.91,3240,9
38.846054333764556,713.5549805950841,704.2309688360592,19.625,556,-38106,941.0025207519532,0.9,3600,10
82.52529381706694,121.12008175779253,110.5230286110985,19.375,1917,-14414,1247.295166015625,0.89,3960,11
59.0533199195171,94.28169014084507,83.7950126793085,16.75,1954,-10716,1197.8881408691407,0.88,4320,12
73.78053624627607,113.90764647467726,103.3554869635917,18.75,1986,-13618,1903.2887084960937,0.87,4680,13
64.13995037220843,100.12059553349876,89.70085994971556,16.875,1995,-10799,1670.5995971679688,0.86,5040,14
83.57417721518988,122.68050632911392,111.89858471715914,18.875,1934,-14836,2159.775915527344,0.85,5400,15
66.25892408245349,100.77828054298642,90.19024181045953,15.5,1955,-11934,1853.0438842773438,0.84,5760,16
51.743718592964825,85.41507537688442,74.91909301981416,14.125,1945,-9250,1967.1709350585938,0.83,6120,17
61.960059910134795,98.17423864203694,87.66233825156415,17.5,1954,-11150,2034.3695190429687,0.82,6480,18
50.925062034739454,86.59057071960298,76.0978488804043,16.375,1992,-9205,2217.034216308594,0.81,6840,19
66.3246231155779,100.62412060301507,90.13951656522329,16.875,1945,-11804,2070.3673095703125,0.8,7200,20
53.551983927674534,87.21396283274737,76.73226097063372,14.5,1964,-9659,1795.0322509765624,0.79,7560,21
53.92377131394183,87.08475426278837,76.44729318467351,15.625,1953,-9382,2141.0240234375,0.78,7920,22
52.08540218470705,85.95729890764648,75.39458244272006,15.625,1998,-8709,1665.6058471679687,0.77,8280,23
45.52416356877323,627.2081784386617,617.6953983639407,19.125,609,-35354,1557.3435791015625,0.76,8640,24
59.8695,96.9845,86.50691304302943,17.75,1953,-10896,1716.5928588867187,0.75,9000,25
46.01002004008016,78.04959919839679,67.66743432161482,14.375,1968,-8022,2277.62763671875,0.74,9360,26
55.16956737941323,91.61760318249627,81.12696300073306,16.125,1972,-9340,3473.9523071289063,0.73,9720,27
50.74142217802088,84.77274987568374,74.22841755566805,16.25,1983,-9017,3378.4070678710937,0.72,10080,28
42.546898263027295,75.44317617866005,64.97095146814277,15.125,1985,-7538,1421.7294494628907,0.71,10440,29
39.44604674291397,71.48582794629537,61.00771461870244,13.875,1974,-6906,1317.9071044921875,0.7,10800,30
53.947421131697546,91.27240861291938,80.81395806498836,19.125,1950,-9419,3938.425408935547,0.69,11160,31
62.28883374689826,96.84813895781637,86.22505870234464,15.5,1997,-10739,1538.981396484375,0.6799999999999999,11520,32
51.38858560794045,85.30471464019851,74.85103180893927,16.625,1997,-9510,1364.6252990722655,0.6699999999999999,11880,33
41.8545905707196,73.8362282878412,63.38001530096929,13.625,1976,-7213,4258.924060058594,0.6599999999999999,12240,34
45.28806789815277,76.74338492261607,66.30197734391126,13.75,1981,-7691,1615.3916809082032,0.6499999999999999,12600,35
39.99751243781095,72.55373134328359,61.991300771564326,13.375,1986,-6791,1765.5988037109375,0.6399999999999999,12960,36
40.105707196029776,70.86104218362283,60.269246389645474,12.25,1995,-7076,1490.1487426757812,0.63,13320,37
40.29054726368159,72.73432835820896,62.191348324840014,13.5,1969,-6861,1190.6299560546875,0.62,13680,38
36.6590570719603,68.52803970223324,58.06578742429116,12.75,1995,-6464,852.3993896484375,0.61,14040,39
34.290274314214464,67.28029925187032,56.707138155698935,14.0,1980,-6149,908.0182800292969,0.6,14400,40
39.039205955334985,71.96724565756824,61.54575337104692,14.0,1999,-6646,863.1996032714844,0.59,14760,41
39.266036797613125,71.86275484833416,61.3837262825385,14.25,1988,-6883,735.0108093261719,0.58,15120,42
35.44681908548708,66.78031809145129,56.22836826403174,12.5,1977,-6125,708.2981018066406,0.5700000000000001,15480,43
32.24328358208955,62.67164179104478,52.32237797818146,14.0,1986,-5511,840.6978820800781,0.56,15840,44
33.54887218045113,64.82606516290727,54.32308277331809,14.25,1950,-5902,740.9986389160156,0.55,16200,45
35.70193740685544,66.91107799304521,56.55139773883801,12.375,1991,-6426,552.9281341552735,0.54,16560,46
34.24267990074442,65.70124069478908,55.2722630115575,14.0,1975,-6163,607.882666015625,0.53,16920,47
35.752115480338475,67.59731209556993,57.21478931517014,15.75,1985,-6022,648.5979736328125,0.52,17280,48
31.47741935483871,62.81836228287841,52.258496869910566,12.625,1996,-5354,597.8813446044921,0.51,17640,49
26.563771712158808,56.992555831265506,46.53592197851729,11.125,1996,-4373,580.42421875,0.5,18000,50
35.55037220843673,67.7801488833747,57.37280062996117,14.375,1996,-6073,614.2746765136719,0.49,18360,51
26.488337468982632,57.54838709677419,47.213803849374564,14.0,1989,-4745,586.1796142578125,0.48,18720,52
36.27860696517413,68.13582089552239,57.66412674805356,13.625,1974,-6159,657.3428619384765,0.47,19080,53
30.36444885799404,61.32720953326713,50.88672631364831,14.5,1996,-5180,583.503207397461,0.45999999999999996,19440,54
25.516881827209534,55.77457795431976,45.41205666503431,12.125,1994,-4356,522.6132049560547,0.44999999999999996,19800,55
22.183308494783905,52.23050173869846,41.89509452203222,11.0,1987,-3779,538.9992828369141,0.43999999999999995,20160,56
35.03383084577114,67.46169154228856,57.061443574767296,16.625,1985,-6192,625.6266632080078,0.42999999999999994,20520,57
34.306234413965086,66.0568578553616,55.68043992666606,15.625,1980,-5865,609.3165954589844,0.41999999999999993,20880,58
27.53548387096774,58.105707196029776,47.75331168109758,12.25,1996,-4675,653.0217193603515,0.4099999999999999,21240,59
28.16385302879841,58.55461767626614,48.10284916239448,11.375,1993,-4775,588.183837890625,0.4,21600,60
22.128535980148882,52.38908188585608,41.95930260024952,10.5,1998,-3676,678.6021881103516,0.39,21960,61
23.995037220843674,54.04764267990075,43.747946912842124,13.25,1997,-4111,562.8229888916015,0.38,22320,62
24.546673286991062,55.438430983118174,45.15550395336583,11.75,1996,-4406,606.9283782958985,0.37,22680,63
20.082423038728898,50.494041708043696,40.09836978284989,10.375,1994,-3438,531.9910278320312,0.36,23040,64
21.307998012916045,52.020367610531544,41.74603741368683,9.625,1991,-3538,672.6168731689453,0.35,23400,65
21.949379652605458,52.386104218362284,41.87964294978889,10.75,1995,-3824,593.0065643310547,0.33999999999999997,23760,66
23.294438927507446,53.144488579940415,42.781639929064376,11.75,1997,-3847,629.3060272216796,0.32999999999999996,24120,67
19.394436164927967,49.43417784401391,39.102592034022585,10.125,1992,-3314,571.0190246582031,0.31999999999999995,24480,68
